,boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
201909150den,201909150den,15-Sep,9/15/2019,Sun,1,1,3,3,1,1,0,Away,DEN,Denver Broncos,FALSE,27,59.3,16,0,120,4.4,14,16,287,5,70,Win,29,1,153,5.3,11,3,27:01:00,0,Reg,2,0
201909230was,201909230was,23-Sep,9/23/2019,Mon,4,4,2,1,0,0,1,Away,WAS,Washington Redskins,FALSE,31,80.6,25,3,208,6.7,15,31,140,3,113.4,Win,24,0,90,3.8,13,8,31:36:00,3,Reg,3,23
201909290chi,201909290chi,29-Sep,9/29/2019,Sun,1,1,3,3,3,2,0,Home,MIN,Minnesota Vikings,FALSE,33,72.7,24,1,197,6,6,16,241,5,97.7,Win,33,0,72,2.2,16,5,35:27:00,1,Reg,4,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080phi,201909080phi,8-Sep,9/8/2019,Sun,3,3,2,2,2,2,0,Away,PHI,Philadelphia Eagles,FALSE,44,68.2,30,3,370,8.4,32,27,272,5,116.7,Loss,13,0,28,2.2,13,5,25:33:00,1,Reg,1,10
201909150was,201909150was,15-Sep,9/15/2019,Sun,3,3,0,0,3,2,0,Home,DAL,Dallas Cowboys,FALSE,37,70.3,26,2,208,5.6,31,21,198,4,102.1,Loss,17,1,47,2.8,9,2,26:38:00,1,Reg,2,13
201909230was,201909230was,23-Sep,9/23/2019,Mon,0,0,2,1,3,2,3,Home,CHI,Chicago Bears,FALSE,43,69.8,30,2,287,6.7,31,15,48,1,74.5,Loss,21,0,69,3.3,9,3,28:24:00,4,Reg,3,45
201909290nyg,201909290nyg,29-Sep,9/29/2019,Sun,0,0,1,1,0,0,4,Away,NYG,New York Giants,FALSE,28,53.6,15,0,121,4.3,24,3,319,6,25.1,Loss,17,0,55,3.2,11,2,23:51,3,Reg,4,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080sea,201909080sea,8-Sep,9/8/2019,Sun,2,2,3,2,1,0,0,Away,SEA,Seattle Seahawks,FALSE,51,68.6,35,2,395,7.7,21,20,177,4,104.6,Loss,14,0,34,2.4,15,6,35:50:00,5,Reg,1,23
201909150cin,201909150cin,15-Sep,9/15/2019,Sun,2,2,2,1,2,1,1,Home,SFO,San Francisco 49ers,FALSE,42,61.9,26,2,291,6.9,41,17,226,5,88.5,Loss,19,0,25,1.3,18,9,27:41:00,4,Reg,2,20
201909220buf,201909220buf,22-Sep,9/22/2019,Sun,2,2,1,1,0,0,2,Away,BUF,Buffalo Bills,FALSE,36,55.6,20,1,240,6.7,21,17,243,6,62.3,Loss,19,1,66,3.5,11,3,23:06,2,Reg,3,10
201909300pit,201909300pit,30-Sep,9/30/2019,Mon,0,0,1,1,3,1,1,Away,PIT,Pittsburgh Steelers,FALSE,37,56.8,21,0,102,2.8,27,3,205,5,50.6,Loss,19,0,73,3.8,14,4,30:14:00,8,Reg,4,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080nyj,201909080nyj,8-Sep,9/8/2019,Sun,1,0,1,0,2,1,0,Home,BUF,Buffalo Bills,FALSE,41,68.3,28,1,155,3.8,17,16,304,7,82.9,Loss,21,0,68,3.2,17,7,32:01:00,4,Reg,1,20
201909160nyj,201909160nyj,16-Sep,9/16/2019,Mon,0,0,1,1,2,0,0,Home,CLE,Cleveland Browns,FALSE,31,74.2,23,0,169,5.5,23,3,329,7,86.6,Loss,24,0,93,3.9,14,2,30:19:00,4,Reg,2,32
201909220nwe,201909220nwe,22-Sep,9/22/2019,Sun,2,2,0,0,1,0,1,Away,NWE,New England Patriots,FALSE,22,54.5,12,0,69,3.1,30,14,464,10,41.7,Loss,20,0,36,1.8,12,0,24:46:00,5,Reg,3,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080mia,201909080mia,8-Sep,9/8/2019,Sun,1,1,1,1,0,0,2,Home,RAV,Baltimore Ravens,FALSE,32,46.9,15,1,179,5.6,59,10,322,6,48.8,Loss,12,0,21,1.8,10,3,19:53,3,Reg,1,11
201909150mia,201909150mia,15-Sep,9/15/2019,Sun,0,0,0,0,4,2,4,Home,NWE,New England Patriots,FALSE,39,46.2,18,0,142,3.6,43,0,298,7,16.1,Loss,15,0,42,2.8,15,2,23:30,7,Reg,2,44
201909220dal,201909220dal,22-Sep,9/22/2019,Sun,0,0,3,2,3,1,0,Away,DAL,Dallas Cowboys,FALSE,41,48.8,20,0,211,5.1,31,6,219,5,64.2,Loss,24,0,72,3,15,3,29:04:00,3,Reg,3,18
201909290mia,201909290mia,29-Sep,9/29/2019,Sun,1,1,3,1,1,0,1,Home,SDG,Los Angeles Chargers,FALSE,24,70.8,17,1,161,6.7,30,10,103,2,85.6,Loss,18,0,72,4,10,5,22:24,5,Reg,4,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
